id,start_date,end_date,lat,lon,country,l1,l2,l3,l4,l5,l6,seller_id,seller_name,stratum,property_type,surface_total,surface_covered,rooms,bathrooms,bedrooms,currency,operation,price,description,price_m2,freshness
3687940,2019-05-25 00:00:00.000000000,2262-04-11 23:47:16.854775807,-31.4181495,-64.502799,Argentina,Argentina,Córdoba,Villa Carlos Paz,,,,28289,cesarlazc,,Departamento,68,68,2,,,USD,Venta,117000,"Hermoso Departamento de Un Dormitorio Más Cochera Fija Cubierta
A 50 Metros de la Costanera del Río San Antonio en el Centro de la Villa
Amplio, Luminoso
Todos los Placares y Muebles de Cocina en Roble
Tercer Piso c/ Ascensor
Cochera Asignada
Impecable Estado de Todo el edificio
Aire Acondicionado
Calefacción
Ventilador de Techo  ",1720.5882352941176,67 days 00:00:00.000000000
3793552,2019-07-07 00:00:00.000000000,2262-04-11 23:47:16.854775807,-31.411177,-64.1628372,Argentina,Argentina,Córdoba,Córdoba,,,,26096,Oronel Fay Inmobiliaria,,Departamento,65,60,4,2.0,2.0,USD,Venta,145000,"ORONEL FAY INMOBILIARIA - VENDE hermoso dpto. en Barrio GENERAL PAZ., excelente ubicación sobre calle General Deheza entre Catamarca y Lima.La propiedad cuenta con living comedor con baulera, luminoso con salida a balcón, cocina separada amplia con muebles de alacena, bajo mesada, ventilacion natural. Dormitorio con placard y salida a balcón, bano completo. Dormitorio principal en suite, con placard, bano con antebano. En subsuelo del edificio cuenta con cochera designada a la cual se accede por rampa apta para auto mediano/chico.En PLANTA BAJA el edificio cuenta con muy lindo PATIO de libre acceso. Quincho cerrado con asadores, equipado. Gimnasio. En terraza PILETA, deck y solarium.PRECIO DE VENTA u$s 145.000 - Expensas aprox. $6.000 + impuestos.Cuenta con escritura.Honorarios profesionales 3% a cargo del comprador.Paola V. Oronel Fay | Corredora Publica Inmobiliaria matricula CPI-5474Eduardo Oronel | cel. 351 619 8931 | Corredor Publico Inmobiliario Matricula CPI-5107Consultas o visitas a nuestra oficina de lunes a viernes de 9 a 15hs.Esquiu 68 piso 6 oficina A, Barrio General Paz, ",2320.0,24 days 00:00:00.000000000
3793735,2019-07-07 00:00:00.000000000,2262-04-11 23:47:16.854775807,-31.2777767,-64.1677013,Argentina,Argentina,Córdoba,Estación Juárez Celman,,,,28798,Gabriel Milanesio,,Depósito,487,175,5,,,ARS,Venta,2200000,Vendo Galpón en Villa Los LLanos-Estación Juárez Célman- Calle Los Sauces 60-A 200 mts de Ruta 9 Norte. Posee 150mts de Nave con Techo parabólico de chapas pisos de cemento portón de acceso de dos hojas Oficina con Toilette privado otro Baño completo portón secundario con salida a Patio amplio de tierra y césped. Terreno 487 mts2 Galpón 150mts2 y Oficina 25mts2. Servicios de Luz Agua y conexión para energía eléctrica tri-fásica. VALOR $2.200.000. Consultas al Te: 497-2019 De Lunes a Viernes de 9 a 13 y de 16.30 a 19Hs. INMOBILIARIA MILANESIO.,6646.525679758308,24 days 00:00:00.000000000
3793751,2019-07-07 00:00:00.000000000,2262-04-11 23:47:16.854775807,-30.9253512,-64.5013203,Argentina,Argentina,Córdoba,Los Cocos,,,,28798,Gabriel Milanesio,,Lote,600,10,1,,,USD,Venta,14500,"Vendo Hermosos Lotes Planos-Listos para construir en la Localidad de Los Cocos. Situados a 100 mts de Av. Cecilia Grierson y a 1000 mts. de la entrada a la Localidad desde la Ruta y a 1500 mts del Complejo Aerosilla y Laberinto. Son lotes contiguos de 15mts de frente por 40 mts de Fondo, totalizando cada uno 600mts2. Servicios de Luz Agua Internet Colectivos. Valor U$$ 14.500 Cada Uno. Consultas, Ubicación y Visita al Te: 0351-4972019 de Lunes a Viernes de 9 a 13 y de 16.30 a 19Hs. INMOBILIARIA MILANESIO",47.540983606557376,24 days 00:00:00.000000000
3793750,2019-07-07 00:00:00.000000000,2262-04-11 23:47:16.854775807,-31.4382001,-64.1168819,Argentina,Argentina,Córdoba,Córdoba,,,,28798,Gabriel Milanesio,,Casa,350,185,6,,,ARS,Venta,2450000,Vendo amplia Casa mas Departamento en Barrio Primero De Mayo-Calle Boedo al 2574- La Casa posee amplio Jardín al Ingreso Living amplio Cocina Comedor con amoblamientos Dos Dormitorios amplios Un Baño completo Garaje para tres automóviles Lavadero semi-cubierto Patio amplio con pisos de tierra-césped y un sector de cemento Asador y Un Departamento de Dos Dormitorios Cocina Comedor y Un Baño. Todas las aberturas poseen rejas Lavadero con rejas perimetrales y rejas en el Jardín de Ingreso. Servicios de Luz Agua Gas Natural y Colectivo urbano en la puerta. Posee 185mts2 Cubiertos y de Terreno 350mts2. VALOR $2.450.000. SE RECIBEN PROPUESTAS Y OFERTAS DE CONTADO. Para consultas y visita al Te. 497-2019 De Lunes a Viernes de 9 a 13 y de 16.30 a 19Hs. INMOBILIARIA MILANESIO,9158.878504672897,24 days 00:00:00.000000000
3793734,2019-07-07 00:00:00.000000000,2262-04-11 23:47:16.854775807,-31.4623372,-64.104567,Argentina,Argentina,Córdoba,Córdoba,,,,28798,Gabriel Milanesio,,Departamento,100,60,4,,,ARS,Alquiler,6600,ALQUILO DUPLEX-Bº DEAN FUNES-Calle Jose Cabrera 5200 A Media Cuadra de Bv. Cangallo. Posee Cocina Comedor con mueble bajo mesada Termo-Tanque eléctrico Escalera Dormitorio en Planta Alta con placar Baño completo Patio con Lavadero Entrada para Auto y amplio Parque al ingreso. Servicios de Luz y Agua. VALOR ALQUILER $6600 C&#x2F;IMPUESTOS INCLUIDOS. Consultas al Te: 497-2019 De Lunes a Viernes de 9 a 13 y de 16.30 a 19Hs. INMOBILIARIA MILANESIO.,82.5,24 days 00:00:00.000000000
3793736,2019-07-07 00:00:00.000000000,2262-04-11 23:47:16.854775807,-31.2777767,-64.1677013,Argentina,Argentina,Córdoba,Estación Juárez Celman,,,,28798,Gabriel Milanesio,,Depósito,487,175,5,,,ARS,Alquiler,16000,Alquilo Galpón en Villa Los LLanos-Estación Juarez Célman- Calle Los Sauces 60-A 200 mts de Ruta 9 Norte. Posee 150mts de Nave con Techo parabólico de chapas pisos de cemento portón de acceso de dos hojas Oficina con Toilette privado otro Baño completo portón secundario con salida a Patio amplio de tierra y césped. Terreno 487 mts2 Galpón 150mts2 y Oficina 25mts2. Servicios de Luz Agua y conexión para energía eléctrica tri-fásica. VALOR ALQUILER $16.000. Consultas al Te: 497-2019 De Lunes a Viernes de 9 a 13 y de 16.30 a 19Hs. INMOBILIARIA MILANESIO.,48.338368580060425,24 days 00:00:00.000000000
3793752,2019-07-07 00:00:00.000000000,2262-04-11 23:47:16.854775807,-31.4213066,-64.184812,Argentina,Argentina,Córdoba,Córdoba,,,,28798,Gabriel Milanesio,,Cochera,12,12,1,,,USD,Venta,16000,VENDO COCHERA- EXCELENTE UBICACIÓN! Calle Buenos Aires al 400 a Metros de Bv. illia. Apta para un auto mediano. Bajas Expensas. VALOR U$$ 16.000. Consultas al Te: 497-2019 De lunes a Viernes de 9 a 13 y de 16.30 a 19Hs. INMOBILIARIA MILANESIO,1333.3333333333333,24 days 00:00:00.000000000
3793733,2019-07-07 00:00:00.000000000,2262-04-11 23:47:16.854775807,-31.4450013,-64.1192839,Argentina,Argentina,Córdoba,,,,,28798,Gabriel Milanesio,,Departamento,45,45,3,,,ARS,Alquiler,6000,Alquilo Cómodo Departamento en Bº Dean Funes-Próximo a Fábrica FIAT&#x2F;IVECO-Ubicado en 2º Piso sin Ascensor con Living Comedor con Aire Acondicionado y calefactor Cocina separada con amplios amoblamientos Baño con conexión para lava-ropas Dormitorio con amplio placar Dos Balcones que dan al Frente. Servicios de Luz Agua Gas Natural. NO SE PERMITEN MASCOTAS. VALOR ALQUILER $6000 IMPUESTOS INCLUIDOS. EXPENSAS $400. Consultas al Te: 497-2019. INMOBILIARIA MILANESIO.,133.33333333333334,24 days 00:00:00.000000000
3793732,2019-07-07 00:00:00.000000000,2262-04-11 23:47:16.854775807,-31.4200833,-64.1887761,Argentina,Argentina,Córdoba,,,,,28798,Gabriel Milanesio,,Departamento,80,50,4,,,ARS,Alquiler,7500,Alquilo Departamento interno en Barrio Pueyrredón. Calle Ucrania 948. A media cuadra de calle Armenia. Posee Pasillo de ingreso Comedor separado Cocina con calefón Dos Dormitorios sin placar Baño completo Patio con Lavadero. Servicios de Luz Agua Gas Natural. Colectivo en la puerta.VALOR ALQUILER $7500 C&#x2F;Impuestos Incluidos. SIN MASCOTAS. Consultas y Vista al Te: 4972019 de Lunes a Viernes de 9 a 13 y de 16.30 a 19Hs. INMOBILIARIA MILANESIO.,115.38461538461539,24 days 00:00:00.000000000
